Student no.,Prob(Ex-Auckland will go in another level 3 or more)?
1,0.72
2,1
3,1
4,0.5
5,0.6
6,1
7,0.7
8,0.3
9,0.2
10,0.3
11,1
12,0
13,0.7
14,0.5
15,1
16,1
17,0
18,1
19,0.5
20,1
21,0.8
22,0.4
23,0.3
24,0.78
25,0.5
26,0.3
27,0.4
28,0.5
29,0.65
30,1
31,0.4
32,1
